"Story","Highlights"
"chips okay personally find flavor combination greasy chip somewhat strange necessarily bad kind chip going able three four chips flavor loses novelty","not the best"
"bought local supermarket enjoyed although salty leave tongue roof mouth burning keeps eating many occasionally get really stale items amazon com one unedible beware quality food items website special close due dates case expired stale unedible","stale  beware buying these on special "
"chips good could stop eating last long <br ><br >the reason gave 4 stars instead 5 think bags little hard open sure need make potato chip bag sturdy may need scissors hand open much easier","these are very good"
"kettle brand chips used good oily crunchy flavorful suspect company bought recipe changed worse better big name brand chip try good health kettle style olive oil chips instead good kettle brand r p kettle brand chips","used to be my favorite chips"
"absolutely forget confirmed reviewers chips total garbage like chewing styrofoam packaging peanuts positively awful hyperbole exaggeration never buy anything kettle brand ever reportedly great premium brand literally mass market chip ever tried tastes better stale rancid tasting virtually salty taste whatsoever completely awful","stale  rancid oil taste  and if you like even the tiniest bit of salt flavor on your chips   "
"chips nasty thought someone spilled drink bag chips soaked grease nasty","disgusting"
"unless like salt vinegar chips salty eating actual pinches salt drinking actual vinegar doubt like chips saltiest sourest chips ever reason stops throwing away paid 2 full boxes dont like waste food brown chips especially bad besides salty sour also taste overcooked burnt unless rare kind take kind extreme taste like chips <br ><br >i actually high tolerance sour taste bag chips bit difficulty normal people please try home","taste terrible  way too strong"
"bought brand trial since tired pingos <br ><br >it claims natural argument point 50 bag fried brown color really suffer eating fried chips open bags looks like throw away know bad luck every bag selling sure never buy brand","over fried"
"good wish also baked found baked salt potato chips anywhere wish someone would post","no salt kettle chips "
"better england know maybe nostalgia part","not as good as the english sell"
"ordered kettle chips following flavvors<br >salt fresh ground pepper<br >tuscan 3 cheese<br >n cheddar hers<br ><br >they tasted variety pack suggest u order ordering large size <br ><br >i wish could return unopened bags","very disappointed"
"purchased low salt indeed low salt however many many chips bag literally dripping oil never encountered problem potato chip brands unappetizing wants oil never buy would recommend others","dripping in oil"
"looking strong v flavor definitely mild comparison many others live tx tell tried v chips get ahold best best heb storebrand world market bob zapp bad chip standpoint typically great kettle crunch looking v flavor touch","not so good "
"know case chips received everyone allowed sample chips buffet style setting agreed slightly salty side <br >one person jokingly stated would terrific melting ice snow due amount salt <br ><br >we ordered expectations would similar lay kettle mesquite potato chips kettle brands outback bbq chips exact opposite <br ><br >sorry folks better expectations chips little salty side <br ><br >we still looking forward amazon finally getting lay kettle mesquite potato chips stock <br >these got 2 star bbq powder used flavorful enough unique","bags o  salt with chips added "
"chips greasy taste burnt grease bottom bag chips saturated especially bottom bag even trans fat free need lot less greasy","chips"
"waste money kettle brand potato chips bought case case cheddar sour cream cases ended garbage","garbage"
"defintely tasty madhouse munchies family favorite kettle dark burnt broken bits taste greasy oily light crunch oh well","they are not madhouse munchies   "
"love sour food one cannot bear strong sour taste even open bag sour smell strong like","too sour "
"unless really really really like vinegar avoid chips called vinegar sea salt sea salt vinegar","awful taste"
"loved kettle brand sea salt vinegar chips since first time tried fact able find line great price wonderful would definitely make purchase quick simple snack lunch goes great cold sandwich","delicious"
"used eat spicy thai flavor time msg makes body unhappy one flavored chips msg free changed whole recipe make instead real food ingredients like used mostly processed chemical garbage bunch salt msg stuffed label yeast extract removed msg label know well <br ><br >the worst part though taste horrible instead crisp oily full character say cooked like kettle something instead color uniformity baked lays spicy thai flavor tastes like sour cream onion ranch gone rancid <br ><br >what shame kettle chips seems slowly moving one flavor time new cheap ingredient list manufacturing method dont fooled paying premium price chips premium product anymore","kettle has sold out  the chips are horrible now"
"chips great first bags however first bag two noticed remaining bags damaged holes bag black sticky stains outside reviewers bought around time claiming found rodent holes bags chips <br ><br >the chips came sealed kettle box hard say screwed someone somewhere screwed chips health hazard holes bag like game roulette","the bags were damaged with holes and stains "
"waiting ridiculous amount time case 15 5oz bags arrive upon opening box noticed every bag chewed open mouse know still box outside porch son gets home going pictures taken email amazon outside amazon box intact either kettle chips people amazon warehouse know never buy amazon cannot tell disgusted purchase makes sick think <br ><br >i included pictures top page poor little mousie must high cholesterol <br ><br >update forgot mention offered email pictures mouse damage amazon told want","kettle chips make great mouse food"
"kettle chips best potato chip god ever invented give lord thanks every day delivering unto incredulously delicious blend ginger spice veritable cornucopia flavor actually changed diet strict regiment spicy thai sea salt vinegar flavors alternating days already lost 5 lbs mention myriad health benefits experiencing get life back kettle chips","orgasmic"
"daughter autism craves hot spice pungent foods absolute favorite chips calls sour chips wants lunch time love crispy kettle way cooked","a tang that packs a punch "
"great fan potato chips thai food happy kettle chips decided meld two great loves together concept chips spicy enough without burning hole tongue also nice hint sweetness makes habit forming careful treat definitely worth indulging","great  hot  new flavor    "
"terrible cannot believe received item every single bag opened 4 stationed afghanistan gonna snack team going missions embarrassed bags opened spilt box gross box filled grease stains idk airplane ride way box insulated bubble wrap used instead paper unhappy stale crusty chips bag us soldiers cannot enjoy","horrible i cant believe this "
"reading reviews got nervous opened bag recent order expecting worst worries bags great shape expiration dates june chips least first bag taste like supposed good world way fifteen bags thirty dollars ton less expensive going price around local grocery store yay team","favorite kettle flavor and a great value "
"kettle branch potato chips new york cheddar good like kettle fried potato chips waaaay salty burnt side taste rancid either cheese flavoring oil fried already old want like brand chips try new flavors every tried sorts brands kettle cooked chips hit spot","kettle brand potato chips   new york cheddar"
"glad able find site love flavor crunchy box packed inside another box still bags end crumbs bags survived tact","my favorite flavor"
"chips taste awesome unlike flavored chips actually make sure plenty flavory salty goodness gets individual chip pass gas near pretty ladies consumption totally know","so much flavor your farts will smell like sweet onions"
"kettle chips really careful flavors nauseating said make fantastic plain chips thick cuts potato fried dark golden brown crunchy lightly salted sea salt cannot recommend chips enough regret <br ><br >some people say burnt website take quick look see immediate difference kettle brand® potato chips beautiful tawny gold cooking natural sugars select potatoes caramelize creating chips light gold deep amber results flavors deep rich colors artisanal display every bag <br ><br >some also said chips oily true explain website kettle foods exclusively use expeller pressed high monounsaturated sunflower safflower oil make kettle brand® products oils naturally free trans fatty acids hydrogenated way taken extra step sending products independent third party labs test presence trans fats results indicate trans fat free meaning none detected see zero trans fats listed packaging oiliness natural happens quality oil used <br ><br >you find chips natural potato flavor also fan unsalted potato chips us watching salt intake unsalted chips best get period","great chip "
"among best chips ever eaten first came upon visited costplus world market store opelika al tiger town mall 2007 big fan dijon flavored anything decided give chips try hooked probably ended buying dozen bags within months time searched part alabama northwestern part state could find later tried find world market hoover patton creek shopping center carry flavor however learned available amazon com also available prime shipping bought soon read kettle chips honey dijon 9 ounce bags pack 12 <br ><br >you get pretty big box filled 12 bags delicious morsels last quite order soon suggest buy bulk form enjoy disappointed go great hamburgers hot dogs perfect spring coming summer outdoor activities cook outs <br ><br >take word chips hidden gem lost world snack foods buy today fall love like","awesome and delicious "
"never addicted anything life tasted chips tried brands sea salt vinegar flavor got stick blue bag chips","the only thing i have ever been addicted too   these chips "
"addicted salty tangy flavors opened first bag sea salt vinegar kettle brand chips knew perfect complement vegetable trays cucumber carrot celery cherry tomatoes skip dip balance tangy chips alternating bites raw vegetable <br ><br >as oregonian proud share delectable snacks friends especially living outside state experienced gourmet chips tell kettle brand potato chips microbrews beer <br ><br >kettle brand potato chips unmistakable light gold color rich flavor amazing crunch kettle brand chips also healthier snacking option major chip brands kettle brand chips trans fats msg artificial flavors colorings company also line organic potato chips products certified kosher <br ><br >i also recommend","one bite and you will become a  chippoisseur "
"bought sale amazon nice crispy thick chips definitely great buy catch sale","good chips"
"like order kettle spicy thai chips amazon hard find locally probably aggrieved know recipe changed like regular potatoe chips paid husband gets eat like spicy thai fine <br ><br >yuck","what happened  the recipe has changed"
"found new taste treat big one potato chips sure come late discover think really good processing ingredients list actually pretty good trans fats etc want indulgence thicker tasty mass produced potato chips come know much flavorful never honey dijon potato chip incredibly good flavorful combination sweet tangy salty also overly hot spicy excellent <br ><br >if want snack something really good got worth calories","yum  if you want a snack  have something really good "
"real good product love chips customers cannot go wrong wit best","a good buy"
"love chips whole family hooked chips eat","yoli"
"know say others covered like potato chips like get em sale limit intake","good chips"
"looking probably already know like chips <br >this great deal problems going stale <br >the 1oz bags great size snack help avoid eating","awesome"
"admit oversalted chip addictive really think one gone far skin literally peeled lips inside mouth eating surprised still market","burns the skin off your lips"
"5mg sodium per serving chips crisp sometimes dip low salt ketchup adds bit flavor","great chips with very low sodium"
"found product kettle chips unsalted fabulous found accident amazon hunting local stores crisp tasty without salt","kettle chips"
"saw spicy thai chips knew try love spicy love thai food first chips super spicy actually taste sort sweet first many degrees flavor spiciness lingering taste bites afterwards would say definitely good unique chip absolutely hate sweet chips would try different flavor since little sweet","spicy thai"
"smiles thank lord found another healthy snack food unsalted tastes great almost gave finding potato chip like thing would ask kettle change texture slightly hard crunchy problem would prefer softer kettle make happen please keep everything else thank","smiles"
"favorite everybody way sort taste like oriental flavor ramen kick one go wrong combination jalapeno ginger bit rich everydayforamonth snacking case purchase recommend trying single bag buying entire case 2oz size seems longer available shame eat entire 5oz bag","my favorite kettle chip"
"salt vinegar chips favorite flavor think tried every brand far best also like sodium content high like others excessively greasy seem right balance salt vinegar taste","best salt   vinegar chips out there "
"package arrived double boxed wrapped inside box holds goods perfect single dent rough mark outstanding packaging <br ><br >the product <br ><br >these best chips planet salt n vinegar flavor beyond among best chips ever might actually sure probably like first bite never try <br ><br >not mention particular flavor held numerous surveys comparisons manufactures","amazing service"
"love jalapeno chips kettle must try <br >nice cruncy kick jalapeno <br >delicious <br >addicting <br >recommended","crunchy and spicy "
"son bought package jalapeno potato chips couple weeks ago become addicted <br ><br >first kettle chips appear somewhat better terms fats etc many chips one peruses dietary information <br ><br >second individual chips nice crisp good crunch value munch away <br ><br >third jalapeno kick overly hot course many products labelled spicy kick bland get slow noticeable burn jalapeno preference bit heat understand consumers would prefer somewhat less would still decent spicyness <br ><br >all pretty happy product weeks since first bought purchase package week foray local grocery store","pretty tasty and decently spiced       "
"looking pictures someone put showing crushed box write review bought chips numerous times amazon warehouse deals time came packaged perfectly sale end summer received cases boxes 10 00 chips fresh hard eat one bag hid garage remembered went way eat far pictures person contacted amazon made ok amazon great handling complaints person given perfect customer service called amazon thanks great tasting product good price quick shipping buy soon","great tasting chips"
"nothing good bad chips like plain potato chips would like thicker brands fresh box crunchy salty one bag lot generally cannot finish part reason oily chips almost look transparent know mean taste oil bit overwhelming used spicy chips may like since spice except salt name says think buy best date bags march 2011 ordered end october","kettle chips  sea salt"
"love sea salt vinegar flavor kettle saw one daily deal 17 99 case put order without doubt however received case found whole case expiring december got end august tried one package definitely taste unfreshness chips disappointed found item returnable convenient although love chips order concern close expiration date","good deal but close expiration date "
"second purchase kettle potato chips love much first time tried bought carton 24 bags kettle chips 2oz bag enough single size serving snack meal chips delicious baked fried lightly salted sea salt 0 fat preservatives nothing artificial use real food ingredients could ask great tasting chip","great tasting chips"
"achieve potato chip nirvana simple buy chips get tomorrow eat <br >repeat <br ><br >why <br ><br >best old school bbq flavor there<br >kettle quality<br >incredible price amazon<br ><br >did mention delicious terrific bargain","buy these  eat these  be happy "
"found 10 years ago health food store bought one bag found stopping store week get chips new york cheddar flavor good hard time eating whole bag","eating them for years "
"enjoy ever step gained 5 lbs within month buying 12 pack full sized bags damn warn tastes awesome though finish crash diet order another box case","these chips will make you fat"
"best spicy chips ever pleasure eating start sweet eat spice builds fantastic want commit whole case pick bag local whole foods first stock realize amazing got case right loving every bite side note brand kettle brand many delicious varieties personal favorite also highly recommend backyard bbq honey dijon sweet onion buffalo bleu salt pepper death valley chipotle lays aint got nothin kettle brand","like spice  get these"
"eaten brands unsalted potato chips always terrible expect much bought tasted amazed never enjoyed unsalted potato chips natural potato flavor thick crunchy chips bad thing bag pain open use scissors save aggravation","fantastic"
"kettle brand chips probably best potato chips tasted thus far thick bite love creative flavors favorite kettle chip happens honey dijon think great combination sweet salty tangy perfect one snack attacks know exactly want especially love curled chips extra texture crunch 2 oz bags perfect anyone problem controlling portions like","sweet  salty  tangy  the way a snack should be"
"oregonian make point sharing oregon made snacks friends visit state tell kettle brand potato chips microbrew beer <br ><br >kettle brand potato chips unmistakable light gold color rich flavor amazing crunch kettle brand chips also healthier snacking option major chip brands kettle brand chips trans fats msg artificial flavors colorings company also line organic potato chips products certified kosher <br ><br >annette solomon reporter salem statesman journal noted glass wine goes nicely spicy thai chips solomon wrote could missing wonderful pairing chips spicy would want select semi sweet white wine also moderate amount acid subdue strong flavors ginger lime garlic cilantro without powering classically german style riesling fits parameters perfectly <br ><br >i also recommend","one bite and you will become a  chippoisseur "
"addicted salty tangy flavors opened first bag sea salt vinegar kettle brand chips knew perfect complement vegetable trays cucumber carrot celery cherry tomatoes skip dip balance tangy chips alternating bites raw vegetable <br ><br >as oregonian proud share delectable snacks friends especially living outside state experienced gourmet chips tell kettle brand potato chips microbrews beer <br ><br >kettle brand potato chips unmistakable light gold color rich flavor amazing crunch kettle brand chips also healthier snacking option major chip brands kettle brand chips trans fats msg artificial flavors colorings company also line organic potato chips products certified kosher <br ><br >i also recommend","one bite and you will become a  chippoisseur "
"kettle chips thicker crunchier though greasier times chips honey dijon flavor great overwhelming salty taste cheaper chips 2oz size great adult size snack","some of the best chips anywhere"
"always liked salt vinegar chips time stronger flavor bottom bag vinegar overflowing right first chip doesnt stop finished bag addictive like salt vinegar ultimate chips nothing else compares","the defacto standard for salt and vinegar chips"
"tasted good spicy like spicy stay away price paid good buy","yummy "
"seriously delicious especially like plain potato chips concern oily understand kettle chips fried small batches open bag another thing strong bag need scissors coating oil inside bag chips suggest blot shake paper towels consuming either way yummy potato taste satisfying crunch delicious","delicious "
"bags difficult open aid tool scissors even try without scissors <br ><br >they crispy taste like chips advertised salted definitely healthy feel grease fingers eating see grease bottom bag <br ><br >they high quality chips deserve put table","lightly salted  yet tasty"
"kettle foods inc makes best tasting potato chips ever eaten variety flavors classic barbeque unique spicy thai find right flavor mouth taste wonderful natural chips cooked safflower sunflower oil zero cholesterol <br ><br >but gogreenmart product week kettle foods inc green giant company highlighted environmental practices convert waste oils biodiesel power company cars roof top solar panel system creates 120 000kwh annually production offset 100 additional u energy usage buying renewable energy credits efforts future care present rejuvenate neighboring 2 acre wetland eco system recent building construction earned gold rating leadership energy environmental design leed <br ><br >now mouth thank environment","yummy "
"really amazing chips put one cheeses blue cheese subtle even blue cheese haters like enjoy","caution  kettle chips are addictive "
"chips delectably delicious low sodium diet give totally something truely love snack chips bursting flavor cannot really tell missing salt kiss worth chip beleive total makeout","the chip with a kiss of salt"
"salty like regular supermarket chips snack overwhelm guilt gotta chips kettle chips lightly salted chips searching <br ><br >there cholesterol trans fats artificial anything manufacturing process actually seem kind home made quality <br ><br >this excellent product","crunch  wow "
"agree company motto natural obsession tried small bag local store immediately bought bulk online save 30 percent flavor strong best paired food mild flavor like steamed vegetables plain whole grain bread otherwise compete clash food","great strong flavor"
"new york cheddar flavor favorite kettle brand potato chips flavorful crunchy make mouth happy unfortunately may opposite backside mom eat entire bag empty stomach may spend afternoon bathroom <br ><br >i still give 5 5 stars <br ><br >also online price amazon better anywhere else seen combined amazon prime getting great deal chips","yummy for your tummy"
"new favorite always fan salt vinegar honey dijons replaced new number one strong taste loving honey mustard flavor must hope like <br ><br >price wise see much deal purchased 2 99 grocery shipping would given product 5 stars easily price taste fabulous disappointed","best chips out there "
"chips good ended eating whole bag day cause good glad dextrose like lays","these chips tasted good"
"best chips nothing beat taste like honey mustard definitely like eat wont stop addicting stuff","awesome chips"
"dont know fresh supposed taste like checked expiration date current still tasted kind stale","i dont know if   "
"first thinking cheese flavored chips love herbs used delicious cheese overpowering yummy crispy","delicious "
"spicy thai chips used best tasting chips market however kettle foods changed ingredients used ginger important missing notice removed ginger attitude bag sadly changing ingredients ruined chips good anymore spice level virtually non existent <br ><br >here original new ingredient listings <br ><br >original ingredients<br >select potatoes safflower sunflower oil honey powder evaporated cane syrup honey salt garlic powder jalapeno pepper ground ginger onion powder habanero pepper dried parsley citric acid cilantro extract ginger oil cayenne pepper white pepper lime oil <br ><br >new ingredients<br >potatoes safflower sunflower oil sugar dried cane syrup salt maltodextrin yeast extract spices garlic powder onion powder dried parsley jalapeno powder citric acid natural flavors lime extract<br ><br >i assuming changed ingredients order cut costs new owner blue diamond might want get rid great taste naturally bags consider maltodextrin natural <br ><br >great job kettle way ruin great thing","kettle foods spicy thai chips"
"sent 3 week past fresh date stock chips noticeably fresh taste order <br ><br >edit add dangers expired stock one bags rat hole black marks inside hole obviously rat unfortunately put chip mouth saw hole <br ><br >very bad form amazon","expired stock"
"try good feel like indulging delicious gourmet potato chips new york chedder potato chips first flavor like go see natural food store chips tangy crunchy satisfy potato chip fix like brand","these potato chips are yummy    "
"problem order case 12 good half time best kettle chip best get case worse potatos mealy old throw order expensive made good fresh potatos best last case prompted write potatos weird like almost sour going bad even wrote company makes want best kettle chip try ones get best try <br >i done ordering creeping using soured potatos either noticing caring","only awful because sometimes they are awful"
"got sea salt vinegar chips kettle used salt vinegar chips white bag allowed say anyways first impression wow chips get price got 9 0z x 12 bags wow many price tell high quality chips packaging also well used cheaper chips expecting mellow things ones used really sour taste mind tons flavor chips sour taste like lot less strong aftertaste want try salt vinegar chips suggest try first price many get chips definately worth thick crunchy like expensive chips get high quality restaurants recommend 4 stars","4 stars for price and taste"
"long enjoyed brand chip began think seriously limiting salt intake particularly pleased find <br ><br > granted bought somewhat reluctantly confirmed salt aholic generously sprinkling everything eggs green beans pleasantly surprised chips satisfying robust taste crispy boot <br ><br > nice able munch without worrying much salt","crispy  crunchy  and robust"
"love salt vinegar potato chips one choose flavor zippy tart unpleasant chemical aftertaste like less natural versions snack 2 ounce bags right share lunch chips little greasy given 4 stars instead 5","tangy and delicious snack"
"kettle lightly slated chips favorite market care fancy flavors salted right thick super crunchy full flavor best","best chip"
"chips tasty expected low salt item seem salty regular potato chip also seem excessively greasy comparison cape cod reduced fat chips less salty least much potato flavor far less greasy","not low salt"
"fantastic tasting potato chips love individual bags great kids adults trans fat cholesterol artifical stuff <br >low sodium high potassium great people like hbp <br >only problem amazon stock times price high","best chips i have ever tasted"
"chips come large box individually wrapped bags chips bags strong much thicker say lay potato chip bags inside tasty kettle cooked chips salted right appear cooked actual kettle fashion cooked others gives authentic non manufactured feel people may like <br ><br >i reccomend","tasty "
"8 yo kettle chip addict happy find snack size bags lunch great quality much cheaper stores definitely buying","love the smaller bags "
"yes good however absolutely inundated flavoring stuff initially satisfying becomes much certainly good waistline general nutritional issues <br ><br >and package cannot opened without sharp implement could pull apart top used normally carry knife scissors rodent teeth well hungry able rip bag using car key even bag wow thick tough <br ><br >on package says krinkle cut chips turns means corrugated kind wanted eat ripple ridged style chips take skin roof mouth information important <br ><br >these good brands problems","things you need to know"
"may sound rediculous actually ordered wrong brand potato chips ordered kettle brand jalapeno chips time placed order could remember name jalapeno chips recently discovered liked kettle brand chips packaged similarly colored bag worked best really like kettle brand jalapeno chips happily munch away upcoming tv football games run probably sometime next year likey purchase miss vicky brand jalapeno chips plan try flavors kettle brand chips imho kettle brand chips excellent recommend potato chip affection ados <br ><br >sincerely <br ><br > § homiedog §","i made a mistake     "
"miss vickies better unfortunately less widely available sure tough right word noticeable difference two brands miss vickie better imho","ok but miss vickie s are better"
"want like kettle contain corn oil soybean oil gmo also kids allergic corn soy darnit things bite back plus side sharpness may keep mindlessly enjoying many minus side mouthful cuts scratches worth hard crunchy wrong simply light crispy vastly prefer lay texture suffer kettle due absense gmos corn soy wish would come something less harsh mouth though","do they have to  bite back  "
"think chips awesome best along poor brothers salt vinager chips buy spicy thai chips smaller bag might much flavor bottom bag larger bag least experience last time bought amazon like 2010 would suggest trying spicy thai bag bigger 5 ounces","these chips are awesome if not best but    "
"kettle chips taste good crispy crunchy u enjoy also moreover thinly cut sliced","kettle chips"
"knew family already liked chips brainer take advantage great price good chips price per bag cannot beat order subscribe save good thing always change delivery interval notice go quicker slower anticipated","great deal"
"delicious tea <br ><br >i becoming tea geek really exploring stuff like earl grey amongst top especially bergamot <br ><br >the problem find amount bergamot added usually little much <br ><br >this one perfect really like balance flavor add anything tea part teaspoon cup 2 3 minutes ready <br ><br >tastes like expensive tea priced like lipton definitely recommend fans earl grey kick","what a great tea at this price"
"bought tea alternative pricey teavana black teas cup every morning smooth refreshing tea","delicious"
"tea tin guarding aroma well <br >the taste beautiful malva flowers soften taste amount bergamot right <br >the first time used much tea soaked long used reference darjeeling ftgfop first flush <br >since save quantity tea leaves soak tea two minutes <br >a delight best earl grey ever price competitive","great well balanced earl grey"
"pros <br > extremely fragrant<br > full bodied<br > steeped twice<br > nice air tight container<br > organic<br ><br >cons <br > price<br ><br >the tao tea blue flower earl grey black tea best earl grey ever tasted would recommend anyone <br ><br >","best earl grey ever"
"lifetime tea drinking honestly say best earl grey ever tasted ordered number times batch consistently excellent even given gift container superb keeping loose tea fresh metal canister inner lid lifted attached knob tea stays dry fresh length time takes use favor like earl grey treat tea","favorite earl grey tea"
"biscuits delicious sweet enough crunch love quick delivery would order satisfied","delicious"
"excellent lo fat lo calorie treat dogs german shorthair pointer treats favorite organic peanut butter cookies smaller dogs loves weight control like","the best"
"male maltese dog enjoying old roy puppy biscuits walmart could find desperate find treat would measure ordered six bags peanut butter crossed fingers <br ><br >they arrived little guy loves gets one heart shaped biscuit bedtime sleeps crate hears touch bag treats beats path crate high excitement big hit well worth price high quality even smell peanuts","a huge success"
"product great job clearing kidneys helped make husband feel lots better even though early renal failure","for your health"
"love bag shrimp 3 4 pound stir fry veges little onion chopped hot tasty","shrimp stir fry"
"got tasted strait bottle tasted like smoky flavored milk yuck depressed stuck 4 bottles sat shelf forgot last weekend tasted zevia cream soda pleased flavor tasted weird smokey like lorann oil gotten tried doctor soda little sf vanilla torani syrup tablespoon heavy cream tasted amazing odd smokiness gone wonderful rich mouthfeel <br ><br >so wanted see would help lorann oil put cup whipping cream bowl added teaspoon vanilla tasted tasted fine added one drop oil strong stirred tasted much better whipped put fruit treat <br ><br >now always whip drop vanilla desserts whip cream happy accident find use added vanilla really adds new depth flavor tastes different bottle cream <br ><br >it potent use drop increase tasting add much ruin recipe use light touch","do not taste from bottle  mix with vanilla for true flavor "
"make coffee creamer 1 4 part commercial coffee creamer vanilla butter creme almond bavarian creme flavors rest milk tastes wonderful half price store bought <br ><br >it excellent","bavarian creme flavor oil"
"detroit raised vernor ginger ale moved california though found difficult find vernor would pop disappear guess without advertising never found home <br ><br >i prefer plastic bottles ideal size 16 9 oz 500 ml one liter problem two liter size takes one person long drink letting go flat <br ><br >in case vernor unique aged oak three years think imparts great unique flavor <br ><br >i wish would catch become available widely <br ><br > recently see sale redwood city california bay area south san francisco next day gone","the oldest soft drink is still the best "
"like vernor drink time old fashioned drink michigan since 1866 labeling known lovely green gold colors gnome character look actually called ginger soda instead ale different typical ginger ale taste vernors strong vanilla presence smoother moist sweeter ginger ale closer cream soda ginger ale good ginger ale dry higher carbonation spicier bite vernors 39 grams sugar per versus 33 grams per schweppes ginger ale neither caffeine <br ><br >the recipe changed bit years mostly choice sweeteners use high fructose corn syrup cost cutting mega soda companies use rather cane sugar used use side corn syrup syrup drowns flavors many microbrews using cane sugar although costs get better taste vernor still aged oak barrels 3 years doubt accounting smoothness great soda anytime soda also known like ginger drinks use home remedy upset stomach <br >vernor regional soda many areas country cannot find sells may selling glass bottles soon least page says day writing comment search amazon asin b001jk2seg see mean vernors quite history two books amazon soda first vernor ginger ale images america michigan isbn 10 0738551856 second book vernor story gnomes isbn 10 0472066978 book company marketing green gold packaging famous gnome vernor fans","made in michigan since 1866"
"want find good flavor substitute maple syrup barley malt brown rice syrup nicely use madhava agave nectar baked goods time always pleased results time writing amazon stock vendor however stock priced well 2 pack <br ><br >other baking used top waffles pancakes small doses 1 2 teaspoon added oatmeal little goes long way <br ><br >using agave nectar use 1 3 1 2 less agave nectar would another sweetener depending taste recipe recipes dried fruit need much less cut heat oven 25 degrees f oil recipe cut 1 3 alternately use tablespoon two sifted coconut flour absorb liquid use much recipe dry additionally baking make sure mix wet ingredients prior adding dry bakers might already know remember read recipes first sugar typically added dry ingredients unless beaten butter first <br ><br >agave nectar crystalize like sugars able substitute corn syrup making hard candy however highly recommend baking makes everything moister <br ><br >if looking less caramel flavor need use light version product equally good applications","caramel flavor  excellent for baking and toppings  tips for using agave  too "
"good quality nectar tasty <br ><br >however expecting 46 fluid ounces 46 ounces weight <br ><br >i find 46 ounces weight makes 32 fluid ounces","these weigh 46 oz  not 46 fluid ounces"
"first time ever used agave nectar great keeps blood sugar stable great buy also","great buy "
"sweetner best brings true flavors ever add great health benefts","excellent sweetner"
"love stuff sweetens without affecting blood glucose levels could figure make tequila would set kidding","agave syrup"
"finally found natural sugar substitute added benefit low glycemic index agave delicious recommended many friends economical purchase 46oz bottles","sugar substitute"
"used buy wholesome sweetners agave like little better switched became expensive cheeper option taste seems little less sweet find use get right sweetness coffee like container pour well pour better squeeze bottle sticky mess counter every day fine price continue shipped every month","good  but container could be better"
"love using sweeten tea coffee etc tastes much better low glycemic sweeteners bitter aftertaste","great stuff "
"ordered product two times happy delivery product works great cooking baking substitute sugar chai lattes","healthy sweetener"
"really like product taste great coffee tea lost weight cutting sugar replacing honey agave nectar","great way replacing the sugar"
"using 17 day diet guided low glycemic eating 6 7 months fair success amber agave nectar become primary sweetener low glycemic effect blood sugar taste mellow sweetening power higher sugar use less without twang honey one thing tried still using sugar making kombucha still use sugar sure would good idea introduce raw element kombucha actually may caution nothing related actual chemistry circumstance <br ><br >our primary uses sweetening yogurt using little baking use salad dressings fruit desserts etc limiting sweets consumption use lot nice need plan try using homemade jams later season buy subscription cost 33 less local walmart 50 less health food store brand best date bottles received may 2015","great substitute sweetener"
"glad introduced brand sweetner replace sugar much better really like sweetens herbal sweet teas without use much used place pancake syrup learning use first thing learn learned use became hooked would even look sugar highly reccomend want clean fresh taste feel foods purchase sweetner take advantage ship save save lots money long run","my go to sweetner"
"love product best natural sweetener ever tried tried many use also pancake syrup substitute honey peanut butter honey sandwich last long time good value","the best"
"using agave nectar several months found staple home madhava agave nectar good tasting good buy","yummy"
"stuff great low glycemic substitute sugar body great favor size economical shipping fast got mine soon","healthy stuff"
"save little money buying larger quantities opposed smaller bottles like taste agave cross honey maple good pies cereal frozen yogurt etc","agave nectar"
"awesome product ordered many times honey like flavored lower glycemic sweetener great coffee tea","sweet success"
"thank product use time appreciate promptness price excellent thanks","great product"
"low glycemic index diet help control blood sugar hormone levels nutritionist recommended agave nectar sweetener since gi index low 30 opposed honey low 50 sugar mid 50 tried supermarkets health food stores wholesale clubs prices usually around 13 32oz bottle 19ish 2x46oz used like honey substitute 2 3c every 1c sugar reduce liquids 1 4th <br ><br >i also use carrot cake recipe equal substitution instead sugar substitute whole wheat flour instead white flour decrease liquids delicious would never know actually good","best price on agave nectar that i have found"
"disappointed product could see many calories time ordered received see 60 calories per tablespoon granulated sugar 45 calories per tablespoon could agave nectar better sugar","how this could be good "
"dinner friends family saloon rte 46 entertainment complex sanford fl besides awesome staff ask keith fabulous food escargot must serve china mist tea 1st time chose tropical organic green doubt best flavored tea ever","best tea i ever had"
"tried conventional kettle crinkle chip verson salt peper cannot compare easily spicy chips ever eat oompletely enjoyable finish bag indside coated spices great stuff","that is a spicy "
"best tasting tortilla chips ever become allergic tomatoes love tortilla chips much flavor chips longer miss pico de gallo prefer eat plain also right amount heat make flovorful overpoweringly spicy","who needs salsa when chips taste this good "
"potato chips delicious potato chips approximately two years difficult find organic chips amazon lowered price finally chance order definitely ordering family love pure void artificial flavorings true flavor present satisifies need something salty sweet spicy crunchy","delicious "
"chips great snack want junk assiciated chips try like","organic yummy chips what more can you ask for"
"love chips flavor plain sweet spicy time drawback tad bit much salt still great flavor","very different flavor"
